src,dst,type
贾赦,EV_贾宝玉_085_txt_贾宝玉参与宴集_游会,涉及
贾宝玉,EV_贾宝玉_119_txt_贾宝玉与王夫人发生冲突,参与
王夫人,EV_贾宝玉_119_txt_贾宝玉与王夫人发生冲突,涉及
薛姨妈,EV_贾宝玉_119_txt_贾宝玉与王夫人发生冲突,涉及
贾赦,EV_贾宝玉_119_txt_贾宝玉与王夫人发生冲突,涉及
贾探春,EV_贾探春_关系表_与贾政父子关系,参与
贾政,EV_贾探春_关系表_与贾政父子关系,涉及
贾探春,EV_贾探春_关系表_与赵姨娘母子关系,参与
赵姨娘,EV_贾探春_关系表_与赵姨娘母子关系,涉及
贾探春,EV_贾探春_关系表_与贾政母女_父女关系,参与
贾政,EV_贾探春_关系表_与贾政母女_父女关系,涉及
贾探春,EV_贾探春_关系表_与赵姨娘母女_父女关系,参与
赵姨娘,EV_贾探春_关系表_与赵姨娘母女_父女关系,涉及
香菱,EV_香菱_080_txt_香菱去世_病故,参与
宝蟾,EV_香菱_080_txt_香菱去世_病故,涉及
薛姨妈,EV_香菱_080_txt_香菱去世_病故,涉及
薛宝钗,EV_香菱_080_txt_香菱去世_病故,涉及
香菱,EV_香菱_080_txt_香菱去世_病故,参与
宝蟾,EV_香菱_080_txt_香菱去世_病故,涉及
薛姨妈,EV_香菱_080_txt_香菱去世_病故,涉及
薛蟠,EV_香菱_080_txt_香菱去世_病故,涉及
香菱,EV_香菱_079_txt_香菱与薛姨妈成婚_成配,参与
薛姨妈,EV_香菱_079_txt_香菱与薛姨妈成婚_成配,涉及
薛宝钗,EV_香菱_079_txt_香菱与薛姨妈成婚_成配,涉及
薛蟠,EV_香菱_079_txt_香菱与薛姨妈成婚_成配,涉及
香菱,EV_香菱_103_txt_香菱去世_病故,参与
宝蟾,EV_香菱_103_txt_香菱去世_病故,涉及
薛姨妈,EV_香菱_103_txt_香菱去世_病故,涉及
贾琏,EV_香菱_103_txt_香菱去世_病故,涉及
香菱,EV_香菱_062_txt_香菱与鸳鸯发生冲突,参与
鸳鸯,EV_香菱_062_txt_香菱与鸳鸯发生冲突,涉及
玉钏儿,EV_香菱_062_txt_香菱与鸳鸯发生冲突,涉及
薛姨妈,EV_香菱_062_txt_香菱与鸳鸯发生冲突,涉及
妙玉,EV_妙玉_113_txt_妙玉去世_病故,参与
麝月,EV_妙玉_113_txt_妙玉去世_病故,涉及
贾政,EV_妙玉_113_txt_妙玉去世_病故,涉及
袭人,EV_妙玉_113_txt_妙玉去世_病故,涉及
妙玉,EV_妙玉_117_txt_妙玉去世_病故,参与
王夫人,EV_妙玉_117_txt_妙玉去世_病故,涉及
秋桐,EV_妙玉_117_txt_妙玉去世_病故,涉及
贾琏,EV_妙玉_117_txt_妙玉去世_病故,涉及
妙玉,EV_妙玉_116_txt_妙玉去世_病故,参与
王夫人,EV_妙玉_116_txt_妙玉去世_病故,涉及
麝月,EV_妙玉_116_txt_妙玉去世_病故,涉及
贾政,EV_妙玉_116_txt_妙玉去世_病故,涉及
妙玉,EV_妙玉_118_txt_妙玉去世_病故,参与
王夫人,EV_妙玉_118_txt_妙玉去世_病故,涉及
尤氏,EV_妙玉_118_txt_妙玉去世_病故,涉及
紫鹃,EV_妙玉_118_txt_妙玉去世_病故,涉及
妙玉,EV_妙玉_017_txt_妙玉去世_病故,参与
王夫人,EV_妙玉_017_txt_妙玉去世_病故,涉及
薛姨妈,EV_妙玉_017_txt_妙玉去世_病故,涉及
贾蔷,EV_妙玉_017_txt_妙玉去世_病故,涉及
史湘云,EV_史湘云_108_txt_史湘云去世_病故,参与
鸳鸯,EV_史湘云_108_txt_史湘云去世_病故,涉及
薛蝌,EV_史湘云_108_txt_史湘云去世_病故,涉及
贾母,EV_史湘云_108_txt_史湘云去世_病故,涉及
史湘云,EV_史湘云_054_txt_史湘云与薛姨妈成婚_成配,参与
薛姨妈,EV_史湘云_054_txt_史湘云与薛姨妈成婚_成配,涉及
尤氏,EV_史湘云_054_txt_史湘云与薛姨妈成婚_成配,涉及
贾母,EV_史湘云_054_txt_史湘云与薛姨妈成婚_成配,涉及
史湘云,EV_史湘云_062_txt_史湘云与鸳鸯发生冲突,参与
鸳鸯,EV_史湘云_062_txt_史湘云与鸳鸯发生冲突,涉及
玉钏儿,EV_史湘云_062_txt_史湘云与鸳鸯发生冲突,涉及
薛姨妈,EV_史湘云_062_txt_史湘云与鸳鸯发生冲突,涉及
史湘云,EV_史湘云_099_txt_史湘云去世_病故,参与
薛宝琴,EV_史湘云_099_txt_史湘云去世_病故,涉及
薛姨妈,EV_史湘云_099_txt_史湘云去世_病故,涉及
贾母,EV_史湘云_099_txt_史湘云去世_病故,涉及
史湘云,EV_史湘云_110_txt_史湘云去世_病故,参与
鸳鸯,EV_史湘云_110_txt_史湘云去世_病故,涉及
薛姨妈,EV_史湘云_110_txt_史湘云去世_病故,涉及
贾母,EV_史湘云_110_txt_史湘云去世_病故,涉及
晴雯,EV_晴雯_074_txt_晴雯去世_病故,参与
王夫人,EV_晴雯_074_txt_晴雯去世_病故,涉及
贾政,EV_贾政_023_txt_姊妹入园分配居所,参与
贾母,EV_贾政_023_txt_姊妹入园分配居所,涉及
王夫人,EV_贾政_023_txt_姊妹入园分配居所,涉及
贾宝玉,EV_贾政_023_txt_姊妹入园分配居所,涉及
林黛玉,EV_贾政_023_txt_姊妹入园分配居所,涉及
薛宝钗,EV_贾政_023_txt_姊妹入园分配居所,涉及
贾探春,EV_贾政_023_txt_姊妹入园分配居所,涉及
贾迎春,EV_贾政_023_txt_姊妹入园分配居所,涉及
贾惜春,EV_贾政_023_txt_姊妹入园分配居所,涉及
李纨,EV_贾政_023_txt_姊妹入园分配居所,涉及

茗烟,EV_林黛玉_023_txt_林黛玉共读西厢,涉及
袭人,EV_林黛玉_023_txt_林黛玉共读西厢,涉及

贾宝玉,EV_贾宝玉_023_txt_沁芳闸偷读西厢,参与
茗烟,EV_贾宝玉_023_txt_沁芳闸偷读西厢,涉及
林黛玉,EV_贾宝玉_023_txt_沁芳闸偷读西厢,涉及

林黛玉,EV_林黛玉_023_txt_黛玉闻牡丹亭,参与
戏班女儿,EV_林黛玉_023_txt_黛玉闻牡丹亭,涉及
袭人,EV_林黛玉_023_txt_黛玉闻牡丹亭,涉及
麝月,EV_晴雯_074_txt_晴雯去世_病故,涉及
傻大姐,EV_晴雯_074_txt_晴雯去世_病故,涉及
晴雯,EV_晴雯_077_txt_晴雯去世_病故,参与
王夫人,EV_晴雯_077_txt_晴雯去世_病故,涉及
麝月,EV_晴雯_077_txt_晴雯去世_病故,涉及
四儿,EV_晴雯_077_txt_晴雯去世_病故,涉及
晴雯,EV_晴雯_077_txt_晴雯去世_病故,参与
王夫人,EV_晴雯_077_txt_晴雯去世_病故,涉及
麝月,EV_晴雯_077_txt_晴雯去世_病故,涉及
四儿,EV_晴雯_077_txt_晴雯去世_病故,涉及
晴雯,EV_晴雯_031_txt_晴雯去世_病故,参与
麝月,EV_晴雯_031_txt_晴雯去世_病故,涉及
秋纹,EV_晴雯_031_txt_晴雯去世_病故,涉及
袭人,EV_晴雯_031_txt_晴雯去世_病故,涉及
晴雯,EV_晴雯_104_txt_晴雯去世_病故,参与
麝月,EV_晴雯_104_txt_晴雯去世_病故,涉及
紫鹃,EV_晴雯_104_txt_晴雯去世_病故,涉及
袭人,EV_晴雯_104_txt_晴雯去世_病故,涉及
袭人,EV_袭人_096_txt_袭人去世_病故,参与
王夫人,EV_袭人_096_txt_袭人去世_病故,涉及
贾政,EV_袭人_096_txt_袭人去世_病故,涉及
紫鹃,EV_袭人_096_txt_袭人去世_病故,涉及
袭人,EV_袭人_074_txt_袭人去世_病故,参与
王夫人,EV_袭人_074_txt_袭人去世_病故,涉及
麝月,EV_袭人_074_txt_袭人去世_病故,涉及
傻大姐,EV_袭人_074_txt_袭人去世_病故,涉及
袭人,EV_袭人_077_txt_袭人去世_病故,参与
王夫人,EV_袭人_077_txt_袭人去世_病故,涉及
麝月,EV_袭人_077_txt_袭人去世_病故,涉及
四儿,EV_袭人_077_txt_袭人去世_病故,涉及
袭人,EV_袭人_106_txt_袭人去世_病故,参与
王夫人,EV_袭人_106_txt_袭人去世_病故,涉及
鸳鸯,EV_袭人_106_txt_袭人去世_病故,涉及
贾政,EV_袭人_106_txt_袭人去世_病故,涉及
袭人,EV_袭人_113_txt_袭人去世_病故,参与
麝月,EV_袭人_113_txt_袭人去世_病故,涉及
贾政,EV_袭人_113_txt_袭人去世_病故,涉及
妙玉,EV_袭人_113_txt_袭人去世_病故,涉及
薛宝钗,PANCI_薛宝钗,拥有判词
史湘云,PANCI_史湘云,拥有判词
妙玉,PANCI_妙玉,拥有判词
王熙凤,PANCI_王熙凤,拥有判词
贾元春,PANCI_贾元春,拥有判词
贾探春,PANCI_贾探春,拥有判词
贾迎春,PANCI_贾迎春,拥有判词
贾惜春,PANCI_贾惜春,拥有判词
秦可卿,PANCI_秦可卿,拥有判词
李纨,PANCI_李纨,拥有判词
香菱,PANCI_香菱,拥有判词
晴雯,PANCI_晴雯,拥有判词
袭人,PANCI_袭人,拥有判词
# 贾宝玉权威事件边
贾宝玉,EV_贾宝玉_002_txt_贾宝玉衔玉而诞,参与
王夫人,EV_贾宝玉_002_txt_贾宝玉衔玉而诞,涉及
贾宝玉,EV_贾宝玉_003_txt_初见黛玉与摔玉,参与
林黛玉,EV_贾宝玉_003_txt_初见黛玉与摔玉,涉及
贾宝玉,EV_贾宝玉_005_txt_梦游太虚幻境,参与
贾宝玉,EV_贾宝玉_033_txt_贾宝玉挨打,参与
贾政,EV_贾宝玉_033_txt_贾宝玉挨打,涉及
王夫人,EV_贾宝玉_033_txt_贾宝玉挨打,涉及
贾宝玉,EV_贾宝玉_057_txt_紫鹃试玉,参与
紫鹃,EV_贾宝玉_057_txt_紫鹃试玉,涉及
林黛玉,EV_贾宝玉_057_txt_紫鹃试玉,涉及
贾宝玉,EV_贾宝玉_077-078_txt_晴雯被逐与芙蓉诔,参与
晴雯,EV_贾宝玉_077-078_txt_晴雯被逐与芙蓉诔,涉及
王夫人,EV_贾宝玉_077-078_txt_晴雯被逐与芙蓉诔,涉及
贾宝玉,EV_贾宝玉_094_txt_失玉成亲与出家,参与
薛宝钗,EV_贾宝玉_094_txt_失玉成亲与出家,涉及
王夫人,EV_贾宝玉_094_txt_失玉成亲与出家,涉及

# 薛宝钗权威事件边
薛宝钗,EV_薛宝钗_004_txt_薛宝钗入都,参与
薛姨妈,EV_薛宝钗_004_txt_薛宝钗入都,涉及
薛宝钗,EV_薛宝钗_008_txt_微恙互看金玉,参与
贾宝玉,EV_薛宝钗_008_txt_微恙互看金玉,涉及
薛宝钗,EV_薛宝钗_027_txt_薛宝钗扑蝶,参与
贾宝玉,EV_薛宝钗_027_txt_薛宝钗扑蝶,涉及
薛宝钗,EV_薛宝钗_030_txt_机带双敲,参与
贾宝玉,EV_薛宝钗_030_txt_机带双敲,涉及
薛宝钗,EV_薛宝钗_042_txt_兰言解疑癖,参与
贾宝玉,EV_薛宝钗_042_txt_兰言解疑癖,涉及
薛宝钗,EV_薛宝钗_056_txt_小惠全大体,参与
薛宝钗,EV_薛宝钗_097_txt_出闺成大礼,参与
贾宝玉,EV_薛宝钗_097_txt_出闺成大礼,涉及
